"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"L375",44,141,111,33,139.369819076655,45.345168989547,375,"Lycopodium"
"L375",45,156,122,8,149.659357839721,41.3100557491289,375,"Lycopodium"
"L375",46,135,101,14,127.150618902439,50.137012195122,375,"Lycopodium"
"L375",47,140,109,35,137.805109756098,45.9587804878049,375,"Lycopodium"
"L375",48,141,110,34,138.778076916376,45.577224738676,375,"Lycopodium"
"L375",49,147,112,12,139.480339808362,45.3018275261324,375,"Lycopodium"
"L350",1,138,109,45,137.429375754554,46.1061271550769,350,"Lycopodium"
"L350",2,145,117,17,142.149116822896,44.2552483047467,350,"Lycopodium"
"L350",3,149,126,20,150.582106172716,40.9481936577583,350,"Lycopodium"
"L350",4,143,111,31,138.914851904667,45.5235874883659,350,"Lycopodium"
"L350",5,140,108,12,133.068205225369,47.8163901076985,350,"Lycopodium"
"L350",6,129,106,13,127.561846965164,49.9757462881709,350,"Lycopodium"
"L350",7,159,110,39,145.358124953464,42.9968137437398,350,"Lycopodium"
"L350",8,141,112,34,139.275563718256,45.3821318751939,350,"Lycopodium"
"L350",9,157,134,8,157.81665022271,38.1111175597217,350,"Lycopodium"
"L350",10,156,117,60,152.076582648584,40.3621244515357,350,"Lycopodium"
"L350",11,149,117,23,144.474108566015,43.3434868368568,350,"Lycopodium"
"L350",12,157,129,69,162.335336567611,36.3390836989762,350,"Lycopodium"
"L350",13,145,107,31,136.784838136551,46.3588870052741,350,"Lycopodium"
"L350",14,138,111,53,139.942396629438,45.1206287727696,350,"Lycopodium"
"L350",15,151,122,59,153.652688734876,39.7440436333821,350,"Lycopodium"
"L350",16,140,110,24,136.114620595666,46.6217174134645,350,"Lycopodium"
"L350",17,154,128,51,158.068270396224,38.012442981873,350,"Lycopodium"
"L350",18,145,108,5,134.040889858396,47.43494515357,350,"Lycopodium"
"L350",19,151,112,58,146.288180690733,42.6320860036343,350,"Lycopodium"
"L350",20,156,133,66,164.446529464167,35.5111649160129,350,"Lycopodium"
"L350",21,161,114,49,150.346524960112,41.040578447015,350,"Lycopodium"
"L350",22,140,117,52,144.910193657758,43.1724730753889,350,"Lycopodium"
"L350",23,142,108,16,134.364049720782,47.3082157957719,350,"Lycopodium"
"L350",24,149,134,49,160.234143800691,37.163080862474,350,"Lycopodium"
"L350",25,158,123,7,150.110251236538,41.1332348092009,350,"Lycopodium"
"L350",26,153,109,38,142.214310387581,44.2296822009485,350,"Lycopodium"
"L350",27,151,104,22,135.702702695785,46.7832538447901,350,"Lycopodium"
"L350",28,160,126,43,157.84259952134,38.1009413641803,350,"Lycopodium"
"L350",29,161,149,62,177.389115041218,30.4356411603067,350,"Lycopodium"
"L350",30,148,132,38,156.939852054248,38.4549599787262,350,"Lycopodium"
"L350",31,113,77,5,99.4250956554979,61.0097664096087,350,"Lycopodium"
"L350",32,151,113,31,143.410883788725,43.7604377299118,350,"Lycopodium"
"L350",33,154,114,36,145.94441785002,42.7668949607765,350,"Lycopodium"
"L350",34,128,96,5,118.882673554049,53.3793437042946,350,"Lycopodium"
"L350",35,159,120,46,153.522724740726,39.7950099055977,350,"Lycopodium"
"L350",36,171,139,71,175.170343235607,31.3057477507424,350,"Lycopodium"
"L350",37,161,144,64,174.040232578779,31.7489284004787,350,"Lycopodium"
"L350",38,146,116,19,142.073923128573,44.2847360280105,350,"Lycopodium"
"L350",39,143,108,11,134.078531601516,47.4201836856801,350,"Lycopodium"
"L350",40,152,113,42,145.25894365111,43.0357083721136,350,"Lycopodium"
"L350",41,136,88,14,117.347683632496,53.9813005362762,350,"Lycopodium"
